,Longitude,Latitude,Timestamp,ID
0,-118.8878,39.5554,2011-08-01 22:22:40,RGTLwBQugFNU
1,-74.6049,39.3308,2011-11-11 21:36:54,YNBV5GZkeM2E
2,-101.8747,33.4269,2012-12-24 22:50:15,oqLyjjYghOMi
3,-71.1986,42.7006,2012-12-30 22:55:39,pbLnZzaoVN1i
4,-85.5078,42.972,2013-02-09 18:23:05,wCl0STpEf65E
5,-85.5078,42.972,2013-02-09 18:23:05,hvWhedskKkDj
6,-121.9492,37.321,2013-03-17 18:16:27,CWcDrlFjt61R
7,-77.0591,38.8622,2013-05-09 05:12:01,LEW52bgt5nor
8,-75.1282,40.1712,2013-06-24 01:40:08,IIgNXSCYbfAy
9,-83.8762,39.7161,2013-08-31 19:18:28,cajtDeYSHNrL
10,-81.3753,25.9042,2013-10-08 20:54:13,nUoZ5ZgF1ap2
11,-81.3753,25.9042,2013-10-08 20:54:13,KyhT8fIwfuMG
12,-87.9008,41.9746,2013-12-12 22:06:40,MnOiGkw5L4Gt
13,-75.6862,39.8472,2013-12-23 19:38:52,HUHTKXFiRJdO
14,-80.67,38.2582,2013-12-24 21:20:55,fMwCxgrZgB1f
15,-80.67,38.2582,2013-12-25 15:39:37,dORwFTcRXaNW
16,-80.67,38.2582,2013-12-25 15:40:19,fl0aY8zdbLgB
17,-80.67,38.2582,2013-12-25 15:40:27,VqM6omDpi4BZ
18,-97.3331,30.1162,2014-03-27 12:54:54,6Ig4nFkwXBGI
19,-80.7037,24.8807,2014-03-27 19:06:59,GWd5aeDH5Bf8
20,-80.6995,24.8834,2014-03-27 19:07:59,enxqVNzPAOK3
21,-118.1499,34.7059,2014-03-29 00:30:46,So26Qosdt3Gc
22,-117.5879,33.5809,2014-06-25 22:53:25,3WwdxfM3vcKN
23,-122.4145,37.7792,2014-06-29 22:10:21,nQhrk6aO5KC7
24,-86.238,39.7887,2014-07-27 20:01:22,ZH04TyBzwxp4
25,-86.238,39.7887,2014-07-27 20:01:22,C2z6T766zyrl
26,-0.34,51.622,2014-08-05 19:01:51,d35hw9imdTZ4
27,-90.8146,30.2784,2014-11-15 21:01:30,cSQizlUdukTO
28,-105.9201,41.4374,2014-12-26 19:05:07,W2bebttLNOXt
29,-105.9201,41.4374,2014-12-26 19:05:07,cum543JW3azS
30,-105.9201,41.4374,2014-12-26 19:05:07,rAuYxBQCA172
31,-105.9201,41.4374,2014-12-26 19:05:07,EOeYMPTQP320
32,-116.0116,40.7207,2014-12-27 23:40:00,MfSxUGHQ0sk3
33,-116.0116,40.7207,2014-12-27 23:40:00,gqMqwXAdhMf5
34,-79.5752,37.087,2015-01-01 02:02:16,FtoxhzIsCWiZ
35,-114.0786,51.0513,2015-01-25 01:51:57,d8hwkjjVCUyB
36,-78.9086,33.6665,2015-01-31 12:47:30,aBEUU8TbWaXc
37,-97.03,32.9414,2015-02-03 01:16:03,eVLG1vbjzkIt
38,-77.1672,18.4338,2015-02-06 21:55:35,zhyOwxEDDkuw
39,-91.99,30.1071,2015-02-19 00:20:13,PagcKyNzL3xG
40,-91.99,30.1071,2015-02-19 00:20:13,lfwOyNsolOX5
41,-104.5487,36.7892,2015-03-11 20:58:53,jnzwadKPGvWP
42,-104.5487,36.7892,2015-03-11 20:58:53,AWOGoZzezXZR
43,-122.2642,37.8405,2015-03-12 23:16:41,FHbG1JJ4gme7
44,-122.2642,37.8405,2015-03-12 23:16:41,rhFgoHN9NKXa
45,-71.4038,42.9145,2015-03-15 19:00:43,5KvfUAoU48HZ
46,-71.4038,42.9145,2015-03-15 19:00:43,0yeNWcY9YWtx
47,-71.4038,42.9145,2015-03-15 19:00:43,A6GpdoFQrqt0
48,-157.793,21.367,2015-04-16 19:13:24,W3jdopTRkdL3
49,-87.9126,30.5243,2015-05-09 22:23:04,ATzrA4XgqgAb
50,-80.2515,27.1171,2015-05-19 21:45:06,nSO3kp6RTdT3
51,-84.892,33.1925,2015-05-23 23:12:13,jaCFW5weXzzV
52,-76.6573,39.3118,2015-06-05 03:10:09,pImknEP9afUM
53,-102.5541,32.3331,2015-06-12 21:28:52,ltrsOdewZQFo
54,-155.9507,19.5963,2015-06-14 05:28:33,XYlrk5StPkIP
55,-111.8676,40.6867,2015-07-16 04:17:34,gQ3LZbDLDniu
56,-76.6988,39.7546,2015-07-26 20:42:28,1hEoDfc3cMrZ
57,-78.9738,43.0286,2015-08-05 17:05:13,KoAiRXxxgVes
58,-84.1106,35.0687,2015-08-31 20:45:58,VCiOusygkmYF
59,-84.1106,35.0687,2015-08-31 20:45:58,xulcdwxCrxfv
60,-84.1106,35.0687,2015-08-31 20:45:58,AzaJxGnpjkMy
61,-84.5051,33.5478,2015-09-07 23:06:54,jcfxitVpY4jg
62,-84.5051,33.5478,2015-09-07 23:06:54,VWZw5LESioq8
63,-82.8748,39.9737,2015-10-03 00:19:13,SvZv4ja2EJ12
64,-104.9615,39.7418,2015-10-10 15:01:35,i5bR6hpgiHZV
65,100.9061,12.869,2015-10-19 03:40:19,paWi6D5n5yTF
66,-81.5599,28.3552,2015-11-06 23:27:31,agdVl0gdIMcU
67,-91.7215,42.0104,2015-12-24 21:46:03,y9dubI2qOWZA
68,-91.7215,42.0104,2015-12-24 21:46:03,aSjs6r9agobf
69,-76.9725,38.9199,2016-01-01 05:10:40,rQYAAyXLFLbv
70,-38.9691,-12.2578,2016-01-13 10:02:08,fAaa2B26gYZU
71,-75.5323,40.6875,2016-01-25 15:27:44,o8HboGUrhGqN
